,University,Sector,City,Province,Address,Phone,Email,Url,Type
34,Government College Women University Faisalabad,Public,Faisalabad,Punjab,"Government College Women University, Shafique Road Faisalabad Zip Code 38000",+92-41-9220065,info@gcwuf.edu.pk,http://gcwuf.edu.pk/,General
35,"Government College For Women University, Sialkot",Public,Sialkot,Punjab,"Kutchehry Road, Sialkot Pakistan","+92-52-925 0170, +92-52-925 05",info@gcwus.edu.pk,http://www.gcwus.edu.pk/,General
36,Government Sadiq College Women University,Public,Bahawalpur,Punjab,"Government Sadiq College Women University, Bahawalpur.","+92-62-2284803, +92-62 9250075",info@gscwu.edu.pk,https://www.gscwu.edu.pk/,General
37,Greenwich University,Private,Karachi,Sindh,"DK-10, 38th Street, Darkshan, DHA, Phase 6, Karachi 75500.","(92)(21) 35840397/98, (92)(21)",gu@greenwich.edu.pk,http://www.greenwich.edu.pk/,General
38,Hitec University,Private,Taxila,Punjab,"Museum Road, Taxila Cantt","+92-51-4908142, +92-51-3010514",assistant.registrar@hitecuni.edu.pk,http://www.hitecuni.edu.pk,General
39,Habib University,Private,Karachi,Sindh,"Habib University Foundation147, Block 7 & 8 Banglore Cooperative Housing SocietyTipu Sultan Road Karachi – 75350.",+92-21-111-042 242,aamir.siddiqui@habib.edu.pk,http://www.habib.edu.pk,General
40,Hajvery University,Private,Lahore,Punjab,"43-52 Industrial Area Gulberg III, Lahore.","+92-42-35717130-1, +92-42-111",registrar@hup.edu.pk,http://www.hajvery.edu.pk,General
41,Hamdard University,Private,Karachi,Sindh,"Madinat-al-Hikmah, Sharea Madinat al-Hikmah, Muhammad Bin Qasim Avenue, Karachi 74600.","+92-21-36440030021, +92-21-364",info@hamdard.edu.pk,http://www.hamdard.edu.pk,General
42,Hazara University,Public,Mansehra,Khyber Pakhtunkhwa,DHODIAL MANSEHRA [NWFP],"+92-997-530732, +92-997-414121",registrar@hu.edu.pk,http://www.hu.edu.pk,General
43,Indus Valley School of Art & Architecture,Private,Karachi,Sindh,"Street 33, Block 2, Scheme-5, Clifton, Karachi.75600",+92-21-111-111-487,info@ivs.edu.pk,http://www.indusvalley.edu.pk,General
44,Indus University,Private,Karachi,Sindh,"ST-2D, Block-17, Adjacent National Stadium Gulshan-e Iqbal, Opp: Mushriq Centre, Karachi.","+92-21-34977457, +92-21- 34801",admission.site@indus.edu.pk,http://www.indus.edu.pk,General
45,Information Technology University of The Punjab,Public,Lahore,Punjab,"6th Floor, Arfa Software Technology Park, Ferozepur Road, Lahore","+92-42-99232124, +9242-9923253",admission@itu.edu.pk,http://www.itu.edu.pk,Information Technology
46,Institute of Business & Technology,Private,Karachi,Sindh,"Main Ibrahim Hydri Road, Korangi Creek, Karachi.","+92-21-35120462, +92-21-350918",info@biztek.edu.pk,http://www.biztek.edu.pk,Business
47,Institute of Business Administration,Public,Karachi,Sindh,"Plot # 68 & 88 Garden / Kayani Shaheed Road, Karachi - 74400 Pakistan",92-21-38104700,info@khi.iba.edu.pk,http://www.iba.edu.pk,Business
48,Institute of Business Management,Private,Karachi,Sindh,"Korangi Creek, Karachi-75190, Pakistan.",(+92-21)3509-0961-67,mec@iobm.edu.pk,http://www.iobm.edu.pk,Business
49,Institute of Management Sciences,Public,Peshawar,Khyber Pakhtunkhwa,"I-A, Sector E-5, Phase-VII, Hayatabad, Peshawar.","091-9217408,091-9217443,091-9",info@imsciences.edu.pk,http://www.imsciences.edu.pk,Business
50,"Institute of Management Sciences, Lahore",Private,Lahore,Punjab,"23-E-III, Gulberg-III, 54660 Lahore, Pakistan","+92-42-35751115-8, +92-42-3575",info@pakaims.edu.pk,http://www.pakaims.edu.pk,Business
51,Institute of Southern Punjab,Private,Multan,Punjab,"9-KM, Bosan Road, Multan, Pakistan",+92-61-111-786-477,info@isp.edu.pk,http://isp.edu.pk/,General
52,Institute of Space Technology,Public,Islamabad,Islamabad Capital Territory,"Institute of Space Technology , P.O. Box 2750 Islamabad 44000 , Pakistan","+92-51-9075100, +92-51-9273310",info@ist.edu.pk,http://www.ist.edu.pk/,Engineering
53,International Islamic University,Public,Islamabad,Islamabad Capital Territory,"Sector H-10، Islamabad 44000, Pakistan","+92-51-9257988, +92-51-9019616",khalidmraja@iiu.edu.pk,http://www.iiu.edu.pk/,General
54,Iqra National University,Private,Peshawar,Khyber Pakhtunkhwa,"Phase-II, Hayatabad Peshawa",+92-91-5822 852091,info@inu.edu.pk,http://www.inu.edu.pk,General
55,Iqra University,Private,Karachi,Sindh,"Defence View, Shaheed-e-Millat Road, (Ext), Karachi.","+92-21-35310802, +92-21-353108",registrar@iqra.edu.pk,http://www.iqra.edu.pk,General
56,Islamia College University,Public,Peshawar,Khyber Pakhtunkhwa,"Jamrod Road, University Campus,Peshawar.",+92-91-9216009,registrar@icp.edu.pk,http://www.icp.edu.pk,General
57,Islamia University,Public,Bahawalpur,Punjab,The Islamia University of Bahawalpur Pakistan.,92 - 62 - 9250235,info@iub.edu.pk,http://www.iub.edu.pk,General
58,Isra University,Private,Hyderabad,Sindh,"Isra University, Hala Road, Hyderabad Sindh, Pakistan",(92 22) 2030181-4,admissions@isra.edu.pk,http://www.isra.edu.pk,General
59,Jinnah Sindh Medical University,Public,Karachi,Sindh,"Rafique H.J Shaheed Road, Karachi.","+92-21-99204776, +92-21- 35223",admissions@jsmu.edu.pk,http://www.jsmu.edu.pk,Medical
60,Jinnah University For Women,Private,Karachi,Sindh,"Jinnah University for Women, 5-C, Nazimabad, Karachi 74600.","+92-21-36611245, +92-21-366199",info@juw.edu.pk,http://www.juw.edu.pk,General
61,Kasb Institute of Technology,Private,Karachi,Sindh,"84-B, S.M.C.H.S, Off Shahrah-e-Faisal, Karachi-74400, Pakistan.",+92-21-343 14970-3,info@kasbit.edu.pk,http://www.kasbit.edu.pk,General
62,Karachi Institute of Economics & Technology,Private,Karachi,Sindh,"PAF-KIET Main Campus Korangi Creek, Karachi 75190",+92-21-35091114-7,registrar@pafkiet.edu.pk,http://www.pafkiet.edu.pk,General
63,Karachi School For Business & Leadership,Private,Karachi,Sindh,"National Stadium Road Opp. Liaquat National Hospital,Karachi – 74800.","+92-21-721021, +92-21-38771999",info@ksbl.edu.pk,http://www.ksbl.edu.pk,General
64,Karakurum International University,Public,Gilgit,Gilgit-Baltistan,"Karakoram International University, Main Campus University Road Gilgit (15100) Pakistan",+92-5811-960440,info@kiu.edu.pk,http://www.kiu.edu.pk,General
65,Khawaja Freed University of Engineering & Information Technology,Public,Rahim Yar Khan,Punjab,"Abu Dhabi Road, Rahim Yar Khan","+92-68-9239121, +92-68-9239122",info@kfueit.edu.pk,http://www.kfueit.edu.pk/,Engineering
66,Khyber Medical University,Public,Peshawar,Khyber Pakhtunkhwa,PDA building Block-4 Phase-5 Hayatabad Peshawar,+92-91- 9217695,info@kmu.edu.pk,http://www.kmu.edu.pk,Medical
67,Khyber Pakhtunkhwa Agricultural University,Public,Peshawar,Khyber Pakhtunkhwa,"KHYBER PAKHTUNKHWA AGRICULTURAL UNIVERSITY,University Campus, Peshawar","+92-91-9216518091, +92--921657",riazadil@aup.edu.pk,http://www.aup.edu.pk,Agriculture
68,King Edward Medical University,Public,Lahore,Punjab,"Nelagumbad near New Anarkali, Lahore.","+92-42-99211151, +92-42-373540",info@kemu.edu.pk,http://www.kemu.edu.pk,Medical
69,Kinnaird College For Women,Public,Lahore,Punjab,"Kinnaird College for Women 93- Jail Road, Lahore",+92-42-99203781-4,info@kinnaird.edu.pk,http://www.kinnaird.edu.pk,General
70,Kohat University of Science And Technology,Public,Kohat,Khyber Pakhtunkhwa,"Bannu Rd, Kohat 26000, Khyber Pakhtunkhwa.","+92-922-554578, +92-922-529147",registrar@kust.edu.pk,http://www.kust.edu.pk,General
71,Lahore College For Women University,Public,Lahore,Punjab,"Lahore College for Women University, Jail Road, Lahore.",+92-42-99203088,registrar@lcwu.edu.pk,http://www.lcwu.edu.pk,General
72,Lahore Garrison University,Private,Lahore,Punjab,"Main Campus, Sector C, DHA Phase-VI, Lahore.",+92-42-37181821-22,info@lgu.edu.pk,http://lgu.edu.pk/,General
73,Lahore Leads University,Private,Lahore,Punjab,"5-Tipu Block, New Garden Town, Lahore.","+92-42-35846330, +92-423584320",admission@leads.edu.pk,http://www.leads.edu.pk,General
74,Lahore University of Management Sciences,Private,Lahore,Punjab,"D.H.A, Lahore Cantt. 54792 Lahore, Pakistan.",+92 42 3560 8000,mahjabeen.ahmad@lums.edu.pk,http://www.lums.edu.pk,General
75,Liaquat University of Medical & Health Sciences,Public,Jamshoro,Sindh,"Liaquat University of Medical & Health Sciences Jamshoro, Sindh - Pakistan","+92-22-9213305, +92-22-9213307",registrar@lumhs.edu.pk,http://www.lumhs.edu.pk,Medical
76,Mehran University of Engineering & Technology,Public,Jamshoro,Sindh,"Indus Highway, Jamshoro 76062, Pakistan.",+92 (22) 2772250-73,registrar@admin.muet.edu.pk,http://www.muet.edu.pk,Engineering
77,Minhaj University,Private,Lahore,Punjab,"Near Hamdard Chowk, Township, Lahore.","+92-42-351206800, +92-42-35145",info@mul.edu.pk,http://www.mul.edu.pk,General
78,Mirpur University of Science & Technology,Public,Mirpur,Azad Kashmir,"Mirpur University of Science and Technology (MUST), Admin Block, Allama Iqbal Road, Sector B-3, Mirpur.",+92-5827-961034,info@must.edu.pk,http://www.must.edu.pk,General
79,Muhammad Ali Jinnah University,Private,Karachi,Sindh,"22-E, Block-6, PECHS, Karachi 75400","+92-21-111-87-87-87, +92-21-34",info@jinnah.edu,http://www.jinnah.edu,General
80,Muhammad Nawaz Shareef University of Agriculture,Public,Multan,Punjab,"Old Shujaabad Road, Chungi No. 21, Sui Gas road, Multan",+92-61-9201680 +92-61-9201711,info@mnsuam.edu.pk,http://www.mnsuam.edu.pk,Agriculture
81,Muhammad Nawaz Sharif University of Engineering & Technology,Public,Multan,Punjab,"GCT, Old Bahwalpur Road, Multan.",+92-61-4482453,info@mnsuet.edu.pk,http://www.mnsuet.edu.pk/,Engineering
82,Muslim Youth University,Private,Islamabad,Islamabad Capital Territory,"Muslim Youth University. PO Box 21177 G-10, subsector 4 (G-10/4) Islamabad","+92-51-8733217, +92-51-873321",contact@myu.edu.pk,http://myu.edu.pk/,General
83,Ned University of Engineering & Technology,Public,Karachi,Sindh,"NED University of Engineering & Technology University Road, Karachi - 75270, Pakistan","+92-21-99261253, +92-21-99261",registrar@neduet.edu.pk,http://www.neduet.edu.pk,Engineering
84,Nfc Institute of Engineering & Technology,Public,Multan,Punjab,"NFC Institute of Engineering and Technology, Opposite Pak Arab Fertilizers, Khanewal Road, Multan, Pakistan","+92-61-9220044, +92-61-9220012",info@nfciet.edu.pk,http://www.nfciet.edu.pk,Engineering
85,National College of Arts,Public,Lahore,Punjab,"4, Shahrah-E-Quaid-E-Azam, Lahore,Pakistan","+92 42 99210599, 99210601",info@nca.edu.pk,http://www.nca.edu.pk,General
86,National College of Business Administration & Economics,Private,Lahore,Punjab,"National College of Business Administration & Economics, 40-E1, Gulberg III, Lahore 54660, Pakistan","+92 (42) 3575-2716, 19",admission@ncbae.edu.pk,http://www.ncbae.edu.pk,Business
87,National Defense University,Public,Islamabad,Islamabad Capital Territory,"Sector E-9, Islamabad",051-9262066-68,gso1trg@ndu.edu.pk,http://www.ndu.edu.pk/,General
88,National Textile University,Public,Faisalabad,Punjab,"National Textile University: Sheikhupura Road, Faisalabad 37610, Pakistan",92 (041) 9230081-90,info@ntu.edu.pk,http://www.ntu.edu.pk,Textile
89,National University of Computer & Emerging Sciences (fast),Private,Islamabad,Islamabad Capital Territory,"A.K Brohi Road , Sector H-11/4, Islamabad.","+92-51-111 128 128, +92-51-831",admissions@nu.edu.pk,http://www.nu.edu.pk/,Information Technology
90,National University of Medical Sciences,Public,Rawalpindi,Punjab,"National University of Medical Sciences, The Mall, Rawalpindi, Pakistan.",+92-51-9270677,info@numspak.edu.pk,http://numspak.edu.pk/,Medical
91,National University of Modern Languages (numl),Public,Islamabad,Islamabad Capital Territory,"National University of Modern Languages H-9 Islamabad ,Pakistan.","+92-51-111-11-6878, +92-51-908",info@numl.edu.pk,http://www.numl.edu.pk/,General
92,National University of Sciences & Technology,Public,Islamabad,Islamabad Capital Territory,"National University of Sciences and Technology. NUST Campus, H-12, Islamabad, Pakistan.",+92-51-111-11-6878,hrm@nust.edu.pk,http://www.nust.edu.pk/,Engineering
93,Nazeer Hussain University,Private,Karachi,Sindh,"Address: ST-2 Block-4, Federal B Area Near Karimabad Karachi.",+92-21- 3636 2046-54,info@nhu.edu.pk,http://www.nhu.edu.pk/,General
94,Newport Institute of Communications & Economics,Private,Karachi,Sindh,"40-L, PECHS Block-6, Karachi.","+9221-34541067, +9221-36671234",info@newports.edu.pk,http://www.newports.edu.pk,General
95,Northern University Nowshera,Private,Nowshera,Khyber Pakhtunkhwa,"The Northern University (Main Campus), Wattar Walai Ziarat, Kaka Sahib Road Nowshera, KPK, PK","+92-923-613487, +92-923-613485",info@northern.edu.pk,http://www.northern.edu.pk,General
96,Nur International University,Private,Lahore,Punjab,"11/I-B, Model Town, Lahore – Pakistan","+92-42-111555600, +92-42-37421",info@niu.edu.pk,http://www.niu.edu.pk,General
97,Pakistan Institute of Development Economics (pide),Public,Islamabad,Islamabad Capital Territory,"Pakistan Institute of Development Economics (PIDE), Quaid-i-Azam University Campus, P.O. Box. 1091, Islamabad, 44000, Pakistan.",+92-51-9248074 +92-51-9248065,registrar@pide.org.pk,http://www.pide.org.pk/,General
98,Pakistan Institute of Engineering & Applied Sciences,Public,Islamabad,Islamabad Capital Territory,"Nilore, Islamabad, Pakistan.",+92 51 1111 74327,registrar@pieas.edu.pk,http://www.pieas.edu.pk/,Engineering
99,Pakistan Institute of Fashion & Design,Public,Lahore,Punjab,"51-JIII Joher Town. Lahore , P.O.Box 542782 Pakistan",042-99232951-7,info@pifd.edu.pk,http://www.pifd.edu.pk,General
100,Peoples University of Medical & Health Sciences For Women,Public,Nawabshah,Sindh,"Peoples University of Medical & Health Sciences for Women, Nawabshah 67480 (SBA).",+92-244-9370260,registrar@pumhs.edu.pk,http://www.pumhs.edu.pk,Medical
101,Pir Mehr Ali Shah Arid Agriculture University,Public,Rawalpindi,Punjab,"PMAS-Arid Agriculture University Rawalpindi, Shamsabad, Muree Road Rawalpindi - Pakistan.",+92-51-9292104,registrar@uaar.edu.pk,http://www.uaar.edu.pk,Agriculture
102,Preston University,Private,Kohat,Khyber Pakhtunkhwa,"Sector 10 Street 3 KDA Kohat, Kohat, Pakistan, Islamabad Campus: Plot No 85, Street 3, Sector H-8/1,Islamabad.",+92-51-8491300,kohat@preston.edu.pk,http://www.preston.edu.pk,General
103,Preston University,Private,Karachi,Sindh,"Main Campus:15, Banglore Town, Shahrah-e-Faisal,Karachi.",+92-21-34398727,karachi@preston.edu.pk,http://www.preston.edu.pk,General
104,Qarshi University,Private,Lahore,Punjab,"Qarshi University 8-Km Thokar Niaz baig, Canal Bank Road, Opposite lzmir Town, Lahore- Pakistan. 54000","+92-42-37576946,+92-42-3742976",info@qu.edu.pk,http://www.qu.edu.pk,General
105,"Quaid-e-awam University of Engineering, Sciences & Technology",Public,Nawabshah,Sindh,"Quaid-e-Awam University Sakrand Road, Nawabshah, Sindh, Pakistan",0244-9370381-5,registrar@quest.edu.pk,http://www.quest.edu.pk,Engineering
106,Quaid-i-azam University,Public,Islamabad,Islamabad Capital Territory,"Quaid-i-Azam University Islamabad, 45320, Pakistan.",+92-051-9064 0000,info@qau.edu.pk,https://www.qau.edu.pk/,General
107,Qurtaba University of Science & Information Technology,Private,Dera Ismail Khan,Khyber Pakhtunkhwa,"Sheikh Yusuf Road, Dera Ismail Khan,",+92 (966) - 714007/8,dik@qurtuba.edu.pk,http://www.qurtuba.edu.pk,General
108,Riphah International University,Private,Islamabad,Islamabad Capital Territory,"Sector I-14, Hajj Complex, Islamabad.",+92 (51) 844 6000-7,admissions@riphah.edu.pk,https://www.riphah.edu.pk/,General
109,Sardar Bahadur Khan Women University,Public,Quetta,Balochistan,"SBK Women's University, Brewery Road Quetta, Balochistan,Pakistan",+92(081) 9213303,vc@sbkwu.edu.pk,http://www.sbkwu.edu.pk,General
110,Sarhad University of Science & Information Technology,Private,Peshawar,Khyber Pakhtunkhwa,"Sarhad University Landi Akhun Ahmad, Hayatabad Link. Ring Road, Peshawar, Pakistan",+92-91-5230931,registrar@suit.edu.pk,http://www.suit.edu.pk,General
111,Shah Abdul Latif University,Public,Khairpur,Sindh,"Old National Highway, Khairpur Mir's, 66020 Sindh, Pakistan",+92-243-9280061-62,info@salu.edu.pk,http://www.salu.edu.pk,General
112,Shaheed Benazir Bhutto City University,Private,Karachi,Sindh,"Plot F-201 1st floor & 2nd Floor, Near Site Philips Chowrangi, Labour Square, Site Police Station, Binoria Restaurant, Karachi.","+92-21-34242136, +92-21-342420",info@sbbcu.edu.pk,http://www.sbbcu.edu.pk,General
113,Shaheed Benazir Bhutto Dewan University,Private,Karachi,Sindh,"Plot # 30-A/1, Sector 23, Korangi Industrial Area, Karachi, 74900-Pakistan.","+92)- (021)-35115008-10, (021)",info@sbbdewanuniversity.edu.pk,http://www.sbbdewanuniversity.edu.pk/,General
114,Shaheed Benazir Bhutto University of Veterinary & Animal Sciences,Public,Nawabshah,Sindh,"Main Nawabshah road, Sakrand, District Shaheed Benazirabad",+92-244-322150,info@sbbuvas.edu.pk,http://www.sbbuvas.edu.pk,General
115,"Shaheed Benazir Bhutto University, Shaheed Benazirabad",Public,Nawabshah,Sindh,"SHAHEED BENAZIR BHUTTO UNIVERSITY, SHAHEED BENAZIRABAD, Pakistan 67450","+92-244-9370520, +92-244-93705",info@sbbusba.edu.pk,http://www.sbbusba.edu.pk/,General
116,Shaheed Benazir Bhutto Women University,Public,Peshawar,Khyber Pakhtunkhwa,"Shaheed Benazir Bhutto Women University, Opposite Fort Balahisar near LRH, Peshawar Pakistan.","+92-91-9212422, +92-91-922 477",info@sbbwu.edu.pk,http://www.sbbwu.edu.pk,General
117,Shaheed Mohtarma Benazir Bhutto Medical University,Public,Larkana,Sindh,"Shaheed Mohtarma Benazir Bhutto Medical University Larkana, Sindh, Pakistan","+92-74-9410724, +92-74-9410908",registrar@smbbmu.edu.pk,http://www.smbbmu.edu.pk,Medical
118,Shaheed Zulfikar Ali Bhutto Institute of Science & Technology,Private,Karachi,Sindh,"SZABIST 90 and 100 Clifton, Karachi 75600, Pakistan",(92-21) 111-922-478,info@szabist.edu.pk,http://www.szabist.edu.pk,General
119,Shaheed Zulfiqar Ali Bhutto Medical University,Public,Islamabad,Islamabad Capital Territory,"Shaheed Zulfiqar Ali Bhutto Medical University (SZABMU), PIMS, G-8/3, Islamabad, 44000",(92) (51) (9107) 687,info@szabmu.edu.pk,http://www.szabmu.edu.pk/,Medical
120,Shaheed Zulfiqar Ali Bhutto University of Law,Public,Karachi,Sindh,"Chaudry Khaliq-uz-Zaman Road, Near Lilly Bridge, Clifton, Karachi.",+92-21-99206452-53,info@szabul.edu.pk,http://www.szabul.edu.pk,General
121,Shifa Tameer-e-millat University,Private,Islamabad,Islamabad Capital Territory,"Shifa Tameer-e-Millat University Pitras Bukhari Road, H-8/4 Islamabad 44000 Pakistan","+92-51-8464214, +92-51-8464215",info@stmu.edu.pk,http://www.stmu.edu.pk/,General
122,University of Technology (shuhada-e-army Public School),Public,Nowshera,Khyber Pakhtunkhwa,"Ex-Adamjee Paper and Board Mills, Amangarh, Nowshera. 24100",0923-560301,samibangash@uotnowshera.edu.pk,http://uotnowshera.edu.pk/,General
123,Sindh Agriculture University,Public,Hyderabad,Sindh,"Sindh Agriculture Univeristy, Tandojam Hyderabad, Sindh Pakistan Postal Code: 70060",+ 92-22-2765870,info@sau.edu.pk,http://www.sau.edu.pk,Agriculture
124,Sindh Institute of Management & Technology,Private,Karachi,Sindh,"ST-25, BLOCK 14, GULISTAN-E-JOHAR, KARACHI",021 111-746-746,info@simt.edu.pk,http://www.simat.edu.pk,General
125,Sindh Institute of Medical Sciences,Private,Karachi,Sindh,"Civil Hospital Karachi 74200, Pakistan",(92-21) 99215752 & 99215718,info@siut.org,http://www.siut.org,Medical
