,Univeristy/Institute,Sector,City,Address,Phone,Other details
18,COMMECS INSTITUTE OF BUSINESS & EMERGING SCIENCES,Private,Karachi,"Plot No. 40-B, Block-6, PECHS, Karachi.","+92-21-34634104, +92-21-343200",Email: info@commecsinstitute.edu.pk Fax:8110751 URL:http://www.commecsinstitute.edu.pk
19,DHA SUFFA UNIVERSITY,Private,Karachi,"DG-78, Off Khayaban-e-Tufail, Ph-VII (Ext),DHA, Karachi-75500.",+92-21-35244875,Email: info@dsu.edu.pk Fax:021-35244855 URL:http://www.dsu.edu.pk
20,DOW UNIVERSITY OF HEALTH SCIENCES,Public,Karachi,"Baba-E-Urdu Road, Karachi 74200.",+92-21-99215754-7 +92-21-32715,Email: ctu@duhs.edu.pk Fax: URL:http://www.duhs.edu.pk
21,DADABHOY INSTITUTE OF HIGHER EDUCATION,Private,Karachi,"SNPA-17/B, Block 3, P.E.C.H.Society,Shaheed-e-Millat Road, Karachi.","+92-21-34389108, +92-21-111-02",Email: registrar@dadabhoy.edu.pk Fax:92 21 4389147 URL:http://www.dadabhoy.edu.pk
22,DAWOOD UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,Karachi,"M.A. Jinnah Road, Karachi 74800.","+92-21-99230701, +92-21-992311",Email: info@duet.edu.pk Fax:021-99230710 URL:http://www.duet.edu.pk
23,"FATIMA JINNAH MEDICAL UNIVERSITY, LAHORE",Public,Lahore,"Shara-I-Fatima Jinnah ,Queens Road Lahore","99200572-8, 99203718 111-222-",Email: info.college@fjmc.edu.pk Fax: URL:http://www.fjmc.edu.pk/
24,"FEDERAL URDU UNIVERSITY OF ARTS, SCIENCES & TECHNOLOGY",Public,Islamabad,"Sector G-7/1, Near Zero Point,Islamabad.",+92-51-9252860-64,Email: info@fuuastisb.edu.pk Fax:051-9252855 URL:http://www.fuuastisb.edu.pk/
25,FORMAN CHRISTIAN COLLEGE,Private,Lahore,Forman Christian College Ferozepur Road Lahore 54600 Pakistan,"+92-42-99230782, +92-42-992315",Email: contact@fccollege.edu.pk Fax: +92 (42) 9923 0703 URL:http://www.fccollege.edu.pk
26,FOUNDATION UNIVERSITY,Private,Islamabad,"Defence Avenue, Phase-I, DHA,Islamabad","+92-51-5788171, +92-51-5788250",Email: info@fui.edu.pk Fax:92-51-5151433 URL:http://www.fui.edu.pk/
27,GIFT UNIVERSITY,Private,Gujranwala,"Sialkot Bypass, Gujranwala, Pakistan.",+92-55-3892981,Email: info@gift.edu.pk Fax:92 55 3890266 URL:http://www.gift.edu.pk
28,GANDHARA UNIVERSITY,Private,Khyber Pukhtunkhwa,"Canal Road University Town, Peshawar.",+92-243-640160,Email: info@gandhara.edu.pk Fax:92 (0)91 5844428 URL:http://www.gandhara.edu.pk
29,GHAZI UNIVERSITY,Public,Dera Ghazi Khan,"Ghazi University, Dera Ghazi Khan - City Campus, College Chowk, Near Pul Dat.",+92-64-9260380,Email: info@gudgk.edu.pk Fax: URL:http://www.gudgk.edu.pk
30,GHULAM ISHAQ KHAN INSTITUTE OF ENGINEERING SCIENCES & TECHNOLOGY,Private,Swabi,"GIK Institute of Engineering Sciences and Technology, Topi 23640, District Swabi, Khyber Pakhtunkhwa, Pakistan.","+92-938-271875,+92-938-271897",Email: sherali@giki.edu.pk Fax:0938-281032 URL:http://www.giki.edu.pk
31,GOMAL UNIVERSITY,Public,Dera Ismail Khan,"Indus HWY, DI Khan City, Dera Ismail Khan, Khyber Pakhtoonkhwa, Dera Ismail Khan, Pakistan","+92-966-750266, +92-966-750279",Email: submit.gomalujr@gmail.com Fax:+92 966 750057 URL:http://www.gu.edu.pk/
32,GOVERNMENT COLLEGE UNIVERSITY,Public,Faisalabad,"Kotwali Rd, Faisalabad 38000, Pakistan.","+92-41-9200670, +92-41-9201266",Email: info@gcuf.edu.pk Fax:(92)-041-9200671 URL:http://www.gcuf.edu.pk
33,"GOVERNMENT COLLEGE UNIVERSITY, LAHORE",Public,Lahore,"Near Nasir Bagh, Katchery Rd, Lahore 54000, Pakistan.",+92-42-111 000 010,Email: registrar@gcu.edu.pk Fax:+92-42-99213337 URL:http://www.gcu.edu.pk
34,Government College Women University Faisalabad,Public,Faisalabad,"Government College Women University, Shafique Road Faisalabad Zip Code 38000",+92-41-9220065,Email: info@gcwuf.edu.pk Fax:+92-41-9220065 URL:http://gcwuf.edu.pk/
35,"GOVERNMENT COLLEGE FOR WOMEN UNIVERSITY, SIALKOT",Public,Sialkot,"Kutchehry Road, Sialkot Pakistan","+92-52-925 0170, +92-52-925 05",Email: info@gcwus.edu.pk Fax:052-9250168 URL:http://www.gcwus.edu.pk/
36,GOVERNMENT SADIQ COLLEGE WOMEN UNIVERSITY,Public,Bahawalpur,"Government Sadiq College Women University, Bahawalpur.","+92-62-2284803, +92-62 9250075",Email: info@gscwu.edu.pk Fax: URL:https://www.gscwu.edu.pk/
37,GREENWICH UNIVERSITY,Private,Karachi,"DK-10, 38th Street, Darkshan, DHA, Phase 6, Karachi 75500.","(92)(21) 35840397/98, (92)(21)",Email: gu@greenwich.edu.pk Fax:(92)(21) 35851910 URL:http://www.greenwich.edu.pk/
38,HITEC UNIVERSITY,Private,Taxila,"Museum Road, Taxila Cantt","+92-51-4908142, +92-51-3010514",Email: assistant.registrar@hitecuni.edu.pk Fax:051-4908145 URL:http://www.hitecuni.edu.pk
39,HABIB UNIVERSITY,Private,Karachi,"Habib University Foundation147, Block 7 & 8 Banglore Cooperative Housing SocietyTipu Sultan Road Karachi – 75350.",+92-21-111-042 242,Email: aamir.siddiqui@habib.edu.pk Fax: URL:http://www.habib.edu.pk
40,HAJVERY UNIVERSITY,Private,Lahore,"43-52 Industrial Area Gulberg III, Lahore.","+92-42-35717130-1, +92-42-111",Email: registrar@hup.edu.pk Fax:042-35755564 URL:http://www.hajvery.edu.pk
41,HAMDARD UNIVERSITY,Private,Karachi,"Madinat-al-Hikmah, Sharea Madinat al-Hikmah, Muhammad Bin Qasim Avenue, Karachi 74600.","+92-21-36440030021, +92-21-364",Email: info@hamdard.edu.pk Fax:(92-21) 36440045 URL:http://www.hamdard.edu.pk
42,HAZARA UNIVERSITY,Public,Mansehra,DHODIAL MANSEHRA [NWFP],"+92-997-530732, +92-997-414121",Email: registrar@hu.edu.pk Fax:+92-997-530046 URL:http://www.hu.edu.pk
43,INDUS VALLEY SCHOOL OF ART & ARCHITECTURE,Private,Karachi,"Street 33, Block 2, Scheme-5, Clifton, Karachi.75600",+92-21-111-111-487,Email: info@ivs.edu.pk Fax: URL:http://www.indusvalley.edu.pk
44,INDUS UNIVERSITY,Private,Karachi,"ST-2D, Block-17, Adjacent National Stadium Gulshan-e Iqbal, Opp: Mushriq Centre, Karachi.","+92-21-34977457, +92-21- 34801",Email: admission.site@indus.edu.pk Fax:(92-21) 34985320 URL:http://www.indus.edu.pk
45,INFORMATION TECHNOLOGY UNIVERSITY OF THE PUNJAB,Public,Lahore,"6th Floor, Arfa Software Technology Park, Ferozepur Road, Lahore","+92-42-99232124, +9242-9923253",Email: admission@itu.edu.pk Fax: URL:http://www.itu.edu.pk
46,INSTITUTE OF BUSINESS & TECHNOLOGY,Private,Karachi,"Main Ibrahim Hydri Road, Korangi Creek, Karachi.","+92-21-35120462, +92-21-350918",Email: info@biztek.edu.pk Fax:021-5092384 URL:http://www.biztek.edu.pk
47,INSTITUTE OF BUSINESS ADMINISTRATION,Public,Karachi,"Plot # 68 & 88 Garden / Kayani Shaheed Road, Karachi - 74400 Pakistan",92-21-38104700,Email: info@khi.iba.edu.pk Fax:92-21-99261508 URL:http://www.iba.edu.pk
48,INSTITUTE OF BUSINESS MANAGEMENT,Private,Karachi,"Korangi Creek, Karachi-75190, Pakistan.",(+92-21)3509-0961-67,Email: mec@iobm.edu.pk Fax:(+92-21)3509-0968 URL:http://www.iobm.edu.pk
49,INSTITUTE OF MANAGEMENT SCIENCES,Public,Peshawar,"I-A, Sector E-5, Phase-VII, Hayatabad, Peshawar.","091-9217408,091-9217443,091-9","Email: info@imsciences.edu.pk Fax:091-5861026,091-9217 URL:http://www.imsciences.edu.pk"
50,"INSTITUTE OF MANAGEMENT SCIENCES, Lahore",Private,Lahore,"23-E-III, Gulberg-III, 54660 Lahore, Pakistan","+92-42-35751115-8, +92-42-3575",Email: info@pakaims.edu.pk Fax: URL:http://www.pakaims.edu.pk
51,INSTITUTE OF SOUTHERN PUNJAB,Private,Multan,"9-KM, Bosan Road, Multan, Pakistan",+92-61-111-786-477,Email: info@isp.edu.pk Fax:+92-61-6522166 URL:http://isp.edu.pk/
52,INSTITUTE OF SPACE TECHNOLOGY,Public,Islamabad,"Institute of Space Technology , P.O. Box 2750 Islamabad 44000 , Pakistan","+92-51-9075100, +92-51-9273310",Email: info@ist.edu.pk Fax:+92-51-9273310 URL:http://www.ist.edu.pk/
53,INTERNATIONAL ISLAMIC UNIVERSITY,Public,Islamabad,"Sector H-10، Islamabad 44000, Pakistan","+92-51-9257988, +92-51-9019616",Email: khalidmraja@iiu.edu.pk Fax: URL:http://www.iiu.edu.pk/
54,IQRA NATIONAL UNIVERSITY,Private,Peshawar,"Phase-II, Hayatabad Peshawa",+92-91-5822 852091,Email: info@inu.edu.pk Fax:5822984 URL:http://www.inu.edu.pk
55,IQRA UNIVERSITY,Private,Karachi,"Defence View, Shaheed-e-Millat Road, (Ext), Karachi.","+92-21-35310802, +92-21-353108",Email: registrar@iqra.edu.pk Fax: URL:http://www.iqra.edu.pk
56,ISLAMIA COLLEGE UNIVERSITY,Public,Peshawar,"Jamrod Road, University Campus,Peshawar.",+92-91-9216009,Email: registrar@icp.edu.pk Fax:091-9222090 URL:http://www.icp.edu.pk
57,ISLAMIA UNIVERSITY,Public,Bahawalpur,The Islamia University of Bahawalpur Pakistan.,92 - 62 - 9250235,Email: info@iub.edu.pk Fax:92 - 62 - 9250335 URL:http://www.iub.edu.pk
58,ISRA UNIVERSITY,Private,Hyderabad,"Isra University, Hala Road, Hyderabad Sindh, Pakistan",(92 22) 2030181-4,Email: admissions@isra.edu.pk Fax:(92 22) 2030180 & 20 URL:http://www.isra.edu.pk
59,JINNAH SINDH MEDICAL UNIVERSITY,Public,Karachi,"Rafique H.J Shaheed Road, Karachi.","+92-21-99204776, +92-21- 35223",Email: admissions@jsmu.edu.pk Fax:99201372 URL:http://www.jsmu.edu.pk
60,JINNAH UNIVERSITY FOR WOMEN,Private,Karachi,"Jinnah University for Women, 5-C, Nazimabad, Karachi 74600.","+92-21-36611245, +92-21-366199",Email: info@juw.edu.pk Fax:(92-21) 6620614 URL:http://www.juw.edu.pk
61,KASB INSTITUTE OF TECHNOLOGY,Private,Karachi,"84-B, S.M.C.H.S, Off Shahrah-e-Faisal, Karachi-74400, Pakistan.",+92-21-343 14970-3,Email: info@kasbit.edu.pk Fax:4525525 URL:http://www.kasbit.edu.pk
62,KARACHI INSTITUTE OF ECONOMICS & TECHNOLOGY,Private,Karachi,"PAF-KIET Main Campus Korangi Creek, Karachi 75190",+92-21-35091114-7,Email: registrar@pafkiet.edu.pk Fax:(9221) 35091118 URL:http://www.pafkiet.edu.pk
63,KARACHI SCHOOL FOR BUSINESS & LEADERSHIP,Private,Karachi,"National Stadium Road Opp. Liaquat National Hospital,Karachi – 74800.","+92-21-721021, +92-21-38771999",Email: info@ksbl.edu.pk Fax:+92 (21) 38771999 URL:http://www.ksbl.edu.pk
64,KARAKURUM INTERNATIONAL UNIVERSITY,Public,Gilgit,"Karakoram International University, Main Campus University Road Gilgit (15100) Pakistan",+92-5811-960440,Email: info@kiu.edu.pk Fax:051-9266853 URL:http://www.kiu.edu.pk
65,KHAWAJA FREED UNIVERSITY OF ENGINEERING & INFORMATION TECHNOLOGY,Public,Rahim Yar Khan,"Abu Dhabi Road, Rahim Yar Khan","+92-68-9239121, +92-68-9239122",Email: info@kfueit.edu.pk Fax: URL:http://www.kfueit.edu.pk/
66,KHYBER MEDICAL UNIVERSITY,Public,Peshawar,PDA building Block-4 Phase-5 Hayatabad Peshawar,+92-91- 9217695,Email: info@kmu.edu.pk Fax:+92919217704 URL:http://www.kmu.edu.pk
67,KHYBER PAKHTUNKHWA AGRICULTURAL UNIVERSITY,Public,Peshawar,"KHYBER PAKHTUNKHWA AGRICULTURAL UNIVERSITY,University Campus, Peshawar","+92-91-9216518091, +92--921657",Email: riazadil@aup.edu.pk Fax:+ 92 91 9221262 URL:http://www.aup.edu.pk
68,KING EDWARD MEDICAL UNIVERSITY,Public,Lahore,"Nelagumbad near New Anarkali, Lahore.","+92-42-99211151, +92-42-373540",Email: info@kemu.edu.pk Fax: URL:http://www.kemu.edu.pk
69,KINNAIRD COLLEGE FOR WOMEN,Public,Lahore,"Kinnaird College for Women 93- Jail Road, Lahore",+92-42-99203781-4,Email: info@kinnaird.edu.pk Fax:+92 42 9920 3788 URL:http://www.kinnaird.edu.pk
70,KOHAT UNIVERSITY OF SCIENCE AND TECHNOLOGY,Public,Kohat,"Bannu Rd, Kohat 26000, Khyber Pakhtunkhwa.","+92-922-554578, +92-922-529147",Email: registrar@kust.edu.pk Fax: URL:http://www.kust.edu.pk
71,LAHORE COLLEGE FOR WOMEN UNIVERSITY,Public,Lahore,"Lahore College for Women University, Jail Road, Lahore.",+92-42-99203088,Email: registrar@lcwu.edu.pk Fax:+92-42-99203077 URL:http://www.lcwu.edu.pk
72,LAHORE GARRISON UNIVERSITY,Private,Lahore,"Main Campus, Sector C, DHA Phase-VI, Lahore.",+92-42-37181821-22,Email: info@lgu.edu.pk Fax:92 42 36603090 URL:http://lgu.edu.pk/
73,LAHORE LEADS UNIVERSITY,Private,Lahore,"5-Tipu Block, New Garden Town, Lahore.","+92-42-35846330, +92-423584320",Email: admission@leads.edu.pk Fax: URL:http://www.leads.edu.pk
74,LAHORE UNIVERSITY OF MANAGEMENT SCIENCES,Private,Lahore,"D.H.A, Lahore Cantt. 54792 Lahore, Pakistan.",+92 42 3560 8000,Email: mahjabeen.ahmad@lums.edu.pk Fax:+92 42 3572 5048 URL:http://www.lums.edu.pk
75,LIAQUAT UNIVERSITY OF MEDICAL & HEALTH SCIENCES,Public,Jamshoro,"Liaquat University of Medical & Health Sciences Jamshoro, Sindh - Pakistan","+92-22-9213305, +92-22-9213307",Email: registrar@lumhs.edu.pk Fax:+92 22 9213306 URL:http://www.lumhs.edu.pk
76,MEHRAN UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,Jamshoro,"Indus Highway, Jamshoro 76062, Pakistan.",+92 (22) 2772250-73,Email: registrar@admin.muet.edu.pk Fax:+92 (22) 2772281 URL:http://www.muet.edu.pk
77,MINHAJ UNIVERSITY,Private,Lahore,"Near Hamdard Chowk, Township, Lahore.","+92-42-351206800, +92-42-35145",Email: info@mul.edu.pk Fax:042-35116779 URL:http://www.mul.edu.pk
78,MIRPUR UNIVERSITY OF SCIENCE & TECHNOLOGY,Public,Mirpur,"Mirpur University of Science and Technology (MUST), Admin Block, Allama Iqbal Road, Sector B-3, Mirpur.",+92-5827-961034,Email: info@must.edu.pk Fax:+92-5827-961040 / 42 URL:http://www.must.edu.pk
79,MUHAMMAD ALI JINNAH UNIVERSITY,Private,Karachi,"22-E, Block-6, PECHS, Karachi 75400","+92-21-111-87-87-87, +92-21-34",Email: info@jinnah.edu Fax:+92-21-3431-1327 URL:http://www.jinnah.edu
80,MUHAMMAD NAWAZ SHAREEF UNIVERSITY OF AGRICULTURE,Public,Multan,"Old Shujaabad Road, Chungi No. 21, Sui Gas road, Multan",+92-61-9201680 +92-61-9201711,Email: info@mnsuam.edu.pk Fax:+92 (61) 920 1680 URL:http://www.mnsuam.edu.pk
81,MUHAMMAD NAWAZ SHARIF UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,Multan,"GCT, Old Bahwalpur Road, Multan.",+92-61-4482453,Email: info@mnsuet.edu.pk Fax: URL:http://www.mnsuet.edu.pk/
82,MUSLIM YOUTH UNIVERSITY,Private,Islamabad,"Muslim Youth University. PO Box 21177 G-10, subsector 4 (G-10/4) Islamabad","+92-51-8733217, +92-51-873321",Email: contact@myu.edu.pk Fax:(051) 8733219 URL:http://myu.edu.pk/
83,NED UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,Karachi,"NED University of Engineering & Technology University Road, Karachi - 75270, Pakistan","+92-21-99261253, +92-21-99261",Email: registrar@neduet.edu.pk Fax:(92-21) 99261255 URL:http://www.neduet.edu.pk
84,NFC INSTITUTE OF ENGINEERING & TECHNOLOGY,Public,Multan,"NFC Institute of Engineering and Technology, Opposite Pak Arab Fertilizers, Khanewal Road, Multan, Pakistan","+92-61-9220044, +92-61-9220012",Email: info@nfciet.edu.pk Fax:+ 92 61 9220018 URL:http://www.nfciet.edu.pk
85,NATIONAL COLLEGE OF ARTS,Public,Lahore,"4, Shahrah-E-Quaid-E-Azam, Lahore,Pakistan","+92 42 99210599, 99210601",Email: info@nca.edu.pk Fax:+92 42 99210500 URL:http://www.nca.edu.pk
86,NATIONAL COLLEGE OF BUSINESS ADMINISTRATION & ECONOMICS,Private,Lahore,"National College of Business Administration & Economics, 40-E1, Gulberg III, Lahore 54660, Pakistan","+92 (42) 3575-2716, 19",Email: admission@ncbae.edu.pk Fax:+92 (42) 3575-2547 URL:http://www.ncbae.edu.pk
87,NATIONAL DEFENSE UNIVERSITY,Public,Islamabad,"Sector E-9, Islamabad",051-9262066-68,Email: gso1trg@ndu.edu.pk Fax: URL:http://www.ndu.edu.pk/
88,NATIONAL TEXTILE UNIVERSITY,Public,Faisalabad,"National Textile University: Sheikhupura Road, Faisalabad 37610, Pakistan",92 (041) 9230081-90,Email: info@ntu.edu.pk Fax:92 (041) 9230098 URL:http://www.ntu.edu.pk
89,NATIONAL UNIVERSITY OF COMPUTER & EMERGING SCIENCES (FAST),Private,Islamabad,"A.K Brohi Road , Sector H-11/4, Islamabad.","+92-51-111 128 128, +92-51-831",Email: admissions@nu.edu.pk Fax: (051) 410 0619 URL:http://www.nu.edu.pk/
90,NATIONAL UNIVERSITY OF MEDICAL SCIENCES,Public,Rawalpindi,"National University of Medical Sciences, The Mall, Rawalpindi, Pakistan.",+92-51-9270677,Email: info@numspak.edu.pk Fax:+92-51-9270677 URL:http://numspak.edu.pk/
91,NATIONAL UNIVERSITY OF MODERN LANGUAGES (NUML),Public,Islamabad,"National University of Modern Languages H-9 Islamabad ,Pakistan.","+92-51-111-11-6878, +92-51-908",Email: info@numl.edu.pk Fax:+92-51-9258655 URL:http://www.numl.edu.pk/
92,NATIONAL UNIVERSITY OF SCIENCES & TECHNOLOGY,Public,Islamabad,"National University of Sciences and Technology. NUST Campus, H-12, Islamabad, Pakistan.",+92-51-111-11-6878,Email: hrm@nust.edu.pk Fax:051-90851332 URL:http://www.nust.edu.pk/
93,NAZEER HUSSAIN UNIVERSITY,Private,Karachi,"Address: ST-2 Block-4, Federal B Area Near Karimabad Karachi.",+92-21- 3636 2046-54,Email: info@nhu.edu.pk Fax:92 21 36362045 URL:http://www.nhu.edu.pk/
94,NEWPORT INSTITUTE OF COMMUNICATIONS & ECONOMICS,Private,Karachi,"40-L, PECHS Block-6, Karachi.","+9221-34541067, +9221-36671234",Email: info@newports.edu.pk Fax:+92-21-4541089 URL:http://www.newports.edu.pk
95,NORTHERN UNIVERSITY NOWSHERA,Private,Nowshera,"The Northern University (Main Campus), Wattar Walai Ziarat, Kaka Sahib Road Nowshera, KPK, PK","+92-923-613487, +92-923-613485",Email: info@northern.edu.pk Fax: URL:http://www.northern.edu.pk
96,NUR INTERNATIONAL UNIVERSITY,Private,Lahore,"11/I-B, Model Town, Lahore – Pakistan","+92-42-111555600, +92-42-37421",Email: info@niu.edu.pk Fax:042-37421993 URL:http://www.niu.edu.pk
97,PAKISTAN INSTITUTE OF DEVELOPMENT ECONOMICS (PIDE),Public,Islamabad,"Pakistan Institute of Development Economics (PIDE), Quaid-i-Azam University Campus, P.O. Box. 1091, Islamabad, 44000, Pakistan.",+92-51-9248074 +92-51-9248065,Email: registrar@pide.org.pk Fax:+92 51 9248065 URL:http://www.pide.org.pk/
98,PAKISTAN INSTITUTE OF ENGINEERING & APPLIED SCIENCES,Public,Islamabad,"Nilore, Islamabad, Pakistan.",+92 51 1111 74327,Email: registrar@pieas.edu.pk Fax:+92 51 924 8600 URL:http://www.pieas.edu.pk/
99,PAKISTAN INSTITUTE OF FASHION & DESIGN,Public,Lahore,"51-JIII Joher Town. Lahore , P.O.Box 542782 Pakistan",042-99232951-7,Email: info@pifd.edu.pk Fax:042-99232966 URL:http://www.pifd.edu.pk
100,PEOPLES UNIVERSITY OF MEDICAL & HEALTH SCIENCES FOR WOMEN,Public,Nawabshah,"Peoples University of Medical & Health Sciences for Women, Nawabshah 67480 (SBA).",+92-244-9370260,Email: registrar@pumhs.edu.pk Fax:+92-244-9370261 URL:http://www.pumhs.edu.pk
101,PIR MEHR ALI SHAH ARID AGRICULTURE UNIVERSITY,Public,Rawalpindi,"PMAS-Arid Agriculture University Rawalpindi, Shamsabad, Muree Road Rawalpindi - Pakistan.",+92-51-9292104,Email: registrar@uaar.edu.pk Fax:+92-051-9290459 URL:http://www.uaar.edu.pk
102,PRESTON UNIVERSITY,Private,Kohat,"Sector 10 Street 3 KDA Kohat, Kohat, Pakistan, Islamabad Campus: Plot No 85, Street 3, Sector H-8/1,Islamabad.",+92-51-8491300,Email: kohat@preston.edu.pk Fax: URL:http://www.preston.edu.pk
103,PRESTON UNIVERSITY,Private,Karachi,"Main Campus:15, Banglore Town, Shahrah-e-Faisal,Karachi.",+92-21-34398727,Email: karachi@preston.edu.pk Fax:021-34525881 URL:http://www.preston.edu.pk
104,QARSHI UNIVERSITY,Private,Lahore,"Qarshi University 8-Km Thokar Niaz baig, Canal Bank Road, Opposite lzmir Town, Lahore- Pakistan. 54000","+92-42-37576946,+92-42-3742976",Email: info@qu.edu.pk Fax: URL:http://www.qu.edu.pk
105,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCES & TECHNOLOGY",Public,Nawabshah,"Quaid-e-Awam University Sakrand Road, Nawabshah, Sindh, Pakistan",0244-9370381-5,"Email: registrar@quest.edu.pk Fax:92-244-9370367, 9370 URL:http://www.quest.edu.pk"
106,QUAID-I-AZAM UNIVERSITY,Public,Islamabad,"Quaid-i-Azam University Islamabad, 45320, Pakistan.",+92-051-9064 0000,Email: info@qau.edu.pk Fax:+92-51-90644110 URL:https://www.qau.edu.pk/
107,QURTABA UNIVERSITY OF SCIENCE & INFORMATION TECHNOLOGY,Private,Dera Ismail Khan,"Sheikh Yusuf Road, Dera Ismail Khan,",+92 (966) - 714007/8,Email: dik@qurtuba.edu.pk Fax:+92 (966) - 730047 URL:http://www.qurtuba.edu.pk
108,RIPHAH INTERNATIONAL UNIVERSITY,Private,Islamabad,"Sector I-14, Hajj Complex, Islamabad.",+92 (51) 844 6000-7,Email: admissions@riphah.edu.pk Fax:+92 (51) 831 3141 URL:https://www.riphah.edu.pk/
